599;палочка ванили (или 2 ч.л. ванильного сахара)
406;50 г булочки или кусочек хлеба
1;1.5 кг мяса (баранины, свинины или говядины)
1;1 кг риса (в идеале сорта девзира)
1;600 г моркови
1;500 г лука
1;1 ст.л. зиры
1;1 ст.л. барбариса
1;1/2 ст.л. куркумы
1;1 головка чеснока
1;красный молотый перец
1;черный молотый перец
1;соль
1;растительное масло
2;200 г консервированной в масле рыбы (лучше всего сайры)
2;300 г картофеля
2;200 г моркови
2;150 г лука
2;4 яйца
2;соль
2;майонез
3;1 кг яблок (желательно, кислых или кисло-сладких)
3;150 г сахара
3;200 г сливочного масла
3;5 яиц
3;2 ч.л. разрыхлителя
3;600–700 г муки
3;500 г сметаны (15–20%)
3;150 г сахара
4;3 яйца
4;150 г сахара
4;150 г муки
4;250 г сливок 33–35%
4;250 г сыра маскарпоне
4;150 г сахара
4;компот из вишни или черешни
4;100 г шоколада
5;200–250 г листов лазаньи
5;1 кг фарша
5;500 г помидоров
5;200 г лука
5;150 г моркови
5;3–4 зубчика чеснока
5;1 л молока
5;100 г сливочного масла
5;100 г муки
5;300 г твердого сыра
5;50 г пармезана
5;соль
5;перец
5;растительное масло
6;250 мл молока
6;1 яйцо
6;1 ст.л. растительного масла
6;1 ч.л. соли
6;500–550 г муки
6;350 г свинины
6;350 г говядины
6;200 г лука
6;соль
6;перец
6;3–4 лавровых листа
6;5–7 горошин душистого перца
7;300 г сливочного масла
7;2 яйца
7;150 мл воды
7;1 ст.л. уксуса 6% или 2 ст.л. лимонного сока
7;1/8 ч.л. соли
7;600–650 г муки
7;1 л молока
7;400 г сахара
7;2 ч.л. ванильного сахара
7;8 желтков
7;100 г муки
8;средний вилок капусты
8;500 г фарша
8;100 г риса
8;150 г лука
8;150 г моркови
8;соль
8;перец
8;растительное масло
8;300 г сметаны
8;300 г томатного соуса (пасты, кетчупа)
8;2–3 зубчика чеснока (по желанию)
9;1–1.5 кг мякоти свинины
9;5 зубчиков чеснока
9;3 ст.л. горчицы (пасты или в зернах)
9;30 мл растительного масла
9;соль
9;перец
9;2 л воды
9;5–7 горошин душистого перца
9;10–15 горошин черного перца
9;3 лавровых листа
9;70–100 г соли
9;1 ст.л. сушеных трав (я использовала прованские)
10;2 яйца
10;50 г сливочного масла
10;100 г сахара
10;2 ч.л. разрыхлителя
10;150 г муки
10;100 мл сливок 33–35%
10;2 яйца
10;50 г сахара
10;100 г миндаля
10;7–8 шт инжира
11;4 яйца
11;150 г сливочного масла
11;150 г сахара
11;100 г вяленой клюквы
11;3 зернышка кардамона
